,sections,subsections,sources
30,Thẻ liên kết,Thẻ thanh toán Sacombank - HUTECH,https://www.sacombank.com.vn/canhan/Pages/The-thanh-toan-Sacombank-HUTECH.aspx
31,Thẻ liên kết,Thẻ trả trước Sacombank – Vinamilk,https://www.sacombank.com.vn/canhan/Pages/The-tra-truoc-Sacombank-Vinamilk.aspx
32,Dịch vụ thẻ,Mở thẻ qua Sacombank Pay,https://www.sacombank.com.vn/canhan/Pages/Mo-the-qua-Sacombank-Pay.aspx
33,Dịch vụ thẻ,Vay tiêu dùng nhiều lần trên Sacombank Pay,https://www.sacombank.com.vn/canhan/Pages/Vay-tieu-dung-nhieu-lan-tren-Sacombank-Pay.aspx
34,Dịch vụ thẻ,GOOGLE PAY,https://www.sacombank.com.vn/canhan/Pages/GOOGLE-PAY.aspx
35,Dịch vụ thẻ,Tap to phone & NFC,https://www.sacombank.com.vn/canhan/Pages/Tap-to-phone-NFC.aspx
36,Dịch vụ thẻ,Đăng ký thẻ tín dụng online,https://www.sacombank.com.vn/canhan/Pages/Dang-ky-the-tin-dung-online.aspx
37,Dịch vụ thẻ,Nhận và chuyển tiền ra nước ngoài với thẻ Visa,https://www.sacombank.com.vn/canhan/Pages/Nhan-va-chuyen-tien-nuoc-ngoai-voi-the-Visa.aspx
38,Dịch vụ thẻ,Samsung Pay,https://www.sacombank.com.vn/canhan/Pages/Samsung-Pay.aspx
39,Dịch vụ thẻ,Ứng dụng mMerchant,https://www.sacombank.com.vn/canhan/Pages/Ung-dung-mMerchant.aspx
40,Dịch vụ thẻ,Chủ động quản lý thẻ 24/7,https://www.sacombank.com.vn/canhan/Pages/Chu-dong-quan-ly-the-24-7.aspx
41,Dịch vụ thẻ,Sacombank Contactless,https://www.sacombank.com.vn/canhan/Pages/Sacombank-Contactless.aspx
42,Dịch vụ thẻ,MoneySend,https://www.sacombank.com.vn/canhan/Pages/MoneySend.aspx
43,Dịch vụ thẻ,Money Gram,https://www.sacombank.com.vn/canhan/Pages/Money-Gram.aspx
44,Dịch vụ thẻ,Phát hành nhanh thẻ chip,https://www.sacombank.com.vn/canhan/Pages/Phat-hanh-nhanh-the-chip.aspx
45,Dịch vụ thẻ,Bảo mật thẻ,https://www.sacombank.com.vn/canhan/Pages/Bao-mat-the.aspx
46,Dịch vụ thẻ,Visa Direct,https://www.sacombank.com.vn/canhan/Pages/Visa-Direct.aspx
47,Dịch vụ thẻ,Chuyển Tiền - Nhận Bằng Di Động,https://www.sacombank.com.vn/canhan/Pages/Chuyen-Tien-Qua-The-Nhan-Bang-Di-Dong.aspx
48,Dịch vụ thẻ,ATM Sacombank,https://www.sacombank.com.vn/canhan/Pages/ATM-Sacombank.aspx
49,Dịch vụ thẻ,Thanh Toán bằng điểm thưởng,https://www.sacombank.com.vn/canhan/Pages/Thanh-Toan-bang-diem-thuong.aspx
50,Trả góp lãi suất 0%,Trả góp 0% chi tiêu mua sắm,https://www.sacombank.com.vn/canhan/Pages/Tra-gop-0-chi-tieu-mua-sam.aspx
51,Trả góp lãi suất 0%,Ứng tiền ngay,https://www.sacombank.com.vn/canhan/Pages/Ung-tien-ngay.aspx
52,Ưu đãi nổi bật,Tích điểm đổi quà,http://khachhangthanthiet.sacombank.com/
53,Ưu đãi nổi bật,Miễn giảm phí thường niên,https://www.sacombank.com.vn/canhan/Pages/Mien-giam-phi-thuong-nien.aspx
