,types,names,sources
0,Khách hàng cá nhân,Internet Banking,https://www.sacombank.com.vn/nhdt/Pages/Internet-Banking-2.aspx
1,Khách hàng cá nhân,Mobile banking,https://www.sacombank.com.vn/nhdt/Pages/Mobile-Banking.aspx
2,Khách hàng cá nhân,Sacombank Pay,https://www.sacombank.com.vn/nhdt/Pages/Ung-dung-Sacombank-Pay-1.aspx
3,Khách hàng cá nhân,Các dịch vụ khác,https://www.sacombank.com.vn/nhdt/Pages/Cac-dich-vu-khac.aspx
4,Khách hàng doanh nghiệp,Internet Banking,https://www.sacombank.com.vn/nhdt/Pages/iBanking.aspx
5,Khách hàng doanh nghiệp,Mobile Banking,https://www.sacombank.com.vn/nhdt/Pages/mBanking.aspx
6,Khách hàng doanh nghiệp,Alert,https://www.sacombank.com.vn/nhdt/Pages/Alert1.aspx
7,Khách hàng doanh nghiệp,Phương thức xác thực trên eBanking,https://www.sacombank.com.vn/nhdt/Pages/Phuong-thuc-xac-thuc-tren-eBanking.aspx
